,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
95,1517153104.63,57.0,0.23529411764705882,0.2235294117647059,312.625,-7.9375,20.5,0,0,0,0.0,-18.6875,-35.5,-24.5,-0.0288888888889,-0.02,0.0377777777778,-0.15,0.32,0.19,303.10000014305115,4.670000076293945
96,1517153109.27,57.0,0.22745098039215686,0.23529411764705882,294.5,-7.625,22.8125,0,0,0,0.0,-18.0,-31.375,-24.0625,0.15888888888900002,0.008888888888889999,-0.0022222222222199996,0.0,-0.25,0.35,307.74000000953674,4.639999866485596
97,1517153113.92,59.0,0.5176470588235295,0.2,293.1875,-6.25,24.125,0,0,0,0.0,-20.6875,-30.1875,-27.375,-0.182222222222,-0.0311111111111,-0.0188888888889,-0.73,-0.49,0.32,312.3900001049042,4.650000095367432
98,1517153118.56,60.0,0.5607843137254902,0.14901960784313725,290.4375,-6.875,23.75,0,0,0,0.0,-20.0625,-26.875,-25.375,0.0977777777778,-0.0177777777778,0.0388888888889,-1.1,0.61,0.61,317.02999997138977,4.639999866485596
99,1517153123.22,53.0,0.12549019607843137,0.1450980392156863,277.875,-10.0,21.625,0,0,0,0.0,-20.5625,-23.0,-24.1875,-0.181111111111,-0.0311111111111,-0.008888888888889999,-0.58,-0.9,-0.71,321.69000005722046,4.6600000858306885
100,1517153127.91,42.0,0.1450980392156863,0.14901960784313725,265.625,-11.6875,18.8125,0,0,0,0.0,-21.1875,-19.5625,-21.1875,-0.0211111111111,-0.0333333333333,0.005555555555560001,-1.02,0.39,0.35,326.3800001144409,4.690000057220459
101,1517153132.57,26.0,0.23921568627450981,0.14901960784313725,258.3125,-12.25,19.5625,0,0,0,0.0,-19.0625,-18.5,-24.5625,0.008888888888889999,0.0177777777778,0.008888888888889999,-1.32,0.06,0.92,331.039999961853,4.659999847412109
102,1517153137.21,11.0,0.30980392156862746,0.14901960784313725,257.75,-13.1875,20.5,0,0,0,0.0,-18.5,-15.0625,-24.5,-0.06,0.0033333333333300003,-0.012222222222200001,-0.03,-0.32,0.05,335.6800000667572,4.640000104904175
103,1517153141.89,3.0,0.30196078431372547,0.1450980392156863,256.625,-11.8125,21.8125,0,0,0,0.0,-20.0,-15.0625,-23.6875,0.0,0.0,0.0011111111111099998,0.04,-0.05,0.08,340.3600001335144,4.680000066757202
104,1517153146.55,1.0,0.2901960784313726,0.1450980392156863,257.5625,-8.4375,21.1875,0,0,0,0.0,-21.75,-63.5,-32.75,0.004444444444439999,-0.00777777777778,-0.00777777777778,0.36,-0.16,0.16,345.0199999809265,4.659999847412109
105,1517153151.19,13.0,0.5529411764705883,0.23137254901960785,260.6875,2.25,20.1875,0,0,0,0.0,-21.875,-62.5625,-36.75,-0.0611111111111,0.0022222222222199996,-0.00777777777778,-0.1,-0.42,-0.51,349.6600000858307,4.640000104904175
106,1517153155.83,34.0,0.6274509803921569,0.25098039215686274,259.3125,0.625,20.3125,0,0,0,0.0,-23.875,-60.875,-37.5625,0.004444444444439999,-0.0177777777778,-0.013333333333299998,-0.07,-0.81,0.61,354.2999999523163,4.639999866485596
107,1517153160.48,50.0,0.6941176470588235,0.24313725490196078,259.1875,-0.9375,21.4375,0,0,0,0.0,-22.75,-63.375,-37.6875,0.103333333333,0.0455555555556,0.0188888888889,-1.57,-0.5,0.22,358.9500000476837,4.650000095367432
